,Make,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,PROTON,-62.0,-149.0,-337.0,-700.0,-1015.0,-602.0,-393.0,-262.0,-122.0,-83.0
65,DAIHATSU,-9.0,-34.0,-39.0,-134.0,-314.0,-490.0,-418.0,-120.0,-95.0,-110.0
66,SUZUKI,-24.0,-188.0,-352.0,-875.0,-1646.0,-2598.0,-2043.0,-514.0,-205.0,-190.0
67,FORD,115.0,-29.0,-83.0,-371.0,-292.0,33.0,-358.0,-635.0,-374.0,-218.0
68,VOLVO,811.0,540.0,402.0,467.0,593.0,578.0,203.0,-593.0,-416.0,-245.0
69,MITSUBISHI,-601.0,-840.0,-1677.0,-2891.0,-2774.0,-2789.0,-3013.0,442.0,-121.0,-542.0
70,CHEVROLET,314.0,65.0,-244.0,-946.0,-1714.0,-1480.0,-1635.0,-1769.0,-971.0,-575.0
71,NISSAN,-729.0,-1291.0,-2087.0,-5112.0,-4548.0,-2568.0,-2425.0,-3021.0,-1714.0,-610.0
72,VOLKSWAGEN,3475.0,2768.0,2335.0,2518.0,2151.0,1174.0,-457.0,-2251.0,-2104.0,-1013.0
73,TOYOTA,140.0,-2300.0,-4426.0,-8109.0,-3591.0,2608.0,6.0,4239.0,-23.0,-1123.0
74,POLESTAR,,,,,,,,,,
