,Make,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,TRIUMPH,31.0,31.0,32.0,34.0,34.0,35.0,38.0,40.0,40.0,41.0,41.0
56,ALPINE,,,,,,,,,15.0,22.0,33.0
57,DATSUN,10.0,10.0,10.0,8.0,7.0,7.0,9.0,15.0,17.0,21.0,24.0
58,HUMMER,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
59,DAIMLER,20.0,20.0,20.0,20.0,21.0,22.0,20.0,20.0,20.0,21.0,20.0
60,MORGAN,8.0,10.0,10.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0
61,ROVER,34.0,26.0,22.0,19.0,15.0,14.0,14.0,14.0,13.0,13.0,13.0
62,POLESTAR,,,,,,,,,,,10.0
63,SMART,,,,,,,,8.0,9.0,9.0,8.0
64,LANCIA,5.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0
65,PANTHER,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
66,DONGFENG,103.0,101.0,100.0,97.0,96.0,88.0,60.0,27.0,9.0,6.0,6.0
67,TD CARS,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
68,GEELY,757.0,742.0,723.0,698.0,668.0,528.0,177.0,55.0,13.0,6.0,6.0
69,SINGER,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
70,SUNBEAM,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0
71,MINI MAYFAIR,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
72,RUF,,,,,,,,,5.0,5.0,5.0
73,ZOTYE,51.0,50.0,50.0,50.0,50.0,48.0,43.0,26.0,5.0,5.0,5.0
74,HAFEI,330.0,323.0,317.0,308.0,301.0,261.0,127.0,26.0,9.0,5.0,5.0
